sid_total	session_id_total	ip_total	area	origin_channel	grouptype	time_type	year	quarter	month	day	hour
1	1	1	中国 浙江 衢州		1	2	2019	3	07	25	
1	1	1	新加坡 新加坡		1	1	2019	3	07	01	11
1	1	1	中国 河南 开封		1	1	2019	3	07	01	09
1	1	1	中国 贵州 贵阳		1	1	2019	3	07	25	14
1	1	1	中国 广东 云浮		1	1	2019	3	07	25	21
1	1	1	中国 浙江 嘉兴		1	1	2019	3	07	01	18
3	3	3	中国 宁夏		1	2	2019	3	07	01	
1	1	1	中国 海南 临高县		1	1	2019	3	07	01	12
1	1	1	菲律宾 菲律宾		1	1	2019	3	07	01	14
1	1	1	中国 福建 莆田		1	1	2019	3	07	01	12
1	1	1	中国 河北 邢台		1	1	2019	3	07	01	20
1	1	1	中国 山东 临沂		1	1	2019	3	07	25	18
1	1	1	中国 贵州 贵阳		1	1	2019	3	07	25	10
1	1	1	中国 贵州 遵义		1	1	2019	3	07	25	11
2	2	1	中国 浙江 宁波		1	1	2019	3	07	01	15
1	1	1	中国 四川 宜宾		1	1	2019	3	07	01	11
